Node [word=A, frequency=32]
Node [word=destroyed, frequency=2]
Node [word=destruction, frequency=1]
Node [word=detail, frequency=1]
Node [word=detect, frequency=1]
Node [word=detected, frequency=1]
Node [word=determine, frequency=1]
Node [word=determined, frequency=1]
Node [word=detested, frequency=1]
Node [word=developed, frequency=1]
Node [word=devil, frequency=3]
Node [word=devilish, frequency=1]
Node [word=devilishness, frequency=1]
Node [word=devotee, frequency=1]
Node [word=devoting, frequency=1]
Node [word=devoutly, frequency=1]
Node [word=dexterous, frequency=2]
Node [word=dexterously, frequency=1]
Node [word=diabolic, frequency=1]
Node [word=diagonally, frequency=1]
Node [word=diagrams, frequency=1]
Node [word=dickens, frequency=1]
Node [word=dictate, frequency=1]
Node [word=diction, frequency=1]
Node [word=did, frequency=84]
Node [word=didnt, frequency=34]
Node [word=die, frequency=4]
Node [word=died, frequency=4]
Node [word=dies, frequency=3]
Node [word=differ, frequency=3]
Node [word=difference, frequency=6]
Node [word=different, frequency=9]
Node [word=difficult, frequency=1]
Node [word=difficulties, frequency=1]
Node [word=difficulty, frequency=2]
Node [word=diffidence, frequency=1]
Node [word=dignified, frequency=3]
Node [word=dignitary, frequency=1]
Node [word=dignity, frequency=9]
Node [word=dilapidated, frequency=2]
Node [word=dilemma, frequency=1]
Node [word=diligence, frequency=1]
Node [word=dim, frequency=3]
Node [word=dimensions, frequency=1]
Node [word=dimes, frequency=1]
Node [word=diminished, frequency=1]
Node [word=diminutive, frequency=2]
Node [word=dine, frequency=5]
Node [word=dined, frequency=1]
Node [word=dingy, frequency=1]
Node [word=dining, frequency=2]
Node [word=dinnah, frequency=1]
Node [word=dinner, frequency=10]
Node [word=dinnertable, frequency=2]
Node [word=diplomacy, frequency=2]
Node [word=diplomat, frequency=1]
Node [word=dipping, frequency=1]
Node [word=direct, frequency=2]
Node [word=direction, frequency=3]
Node [word=directions, frequency=5]
Node [word=directly, frequency=6]
Node [word=directness, frequency=1]
Node [word=dirtiest, frequency=1]
Node [word=dirty, frequency=1]
Node [word=dis, frequency=2]
Node [word=disagreements, frequency=1]
Node [word=disappearance, frequency=1]
Node [word=disappeared, frequency=1]
Node [word=disappointed, frequency=2]
Node [word=disappointment, frequency=6]
Node [word=disapproval, frequency=4]
Node [word=disapproved, frequency=1]
Node [word=disarrangement, frequency=1]
Node [word=disastrous, frequency=1]
Node [word=disastrousexcept, frequency=1]
Node [word=discern, frequency=1]
Node [word=discipline, frequency=2]
Node [word=disclaim, frequency=2]
Node [word=disclosed, frequency=3]
Node [word=disclosing, frequency=2]
Node [word=discomfort, frequency=1]
Node [word=disconcerted, frequency=3]
Node [word=disconcerting, frequency=1]
Node [word=discontent, frequency=1]
Node [word=discouragement, frequency=2]
Node [word=discourse, frequency=1]
Node [word=discover, frequency=2]
Node [word=discovered, frequency=1]
Node [word=discoveries, frequency=2]
Node [word=discovering, frequency=2]
Node [word=discovery, frequency=3]
Node [word=discreditable, frequency=2]
Node [word=discreetly, frequency=1]
Node [word=discretion, frequency=2]
Node [word=discrimination, frequency=1]
Node [word=discuss, frequency=5]
Node [word=discussed, frequency=3]
Node [word=discussion, frequency=4]
Node [word=diseases, frequency=1]
Node [word=disembarrassed, frequency=1]
Node [word=disenchanted, frequency=2]
Node [word=disenchantment, frequency=1]
Node [word=disgraced, frequency=1]
Node [word=disgusting, frequency=1]
Node [word=dishevelled, frequency=1]
Node [word=dishonesty, frequency=2]
Node [word=disinclined, frequency=1]
Node [word=dismal, frequency=1]
Node [word=dismay, frequency=2]
Node [word=dismiss, frequency=1]
Node [word=dismissed, frequency=2]
Node [word=disobeys, frequency=1]
Node [word=disorder, frequency=2]
Node [word=disparity, frequency=1]
Node [word=dispassionate, frequency=1]
Node [word=disperse, frequency=1]
Node [word=displayed, frequency=1]
Node [word=displeased, frequency=6]
Node [word=displeasure, frequency=8]
Node [word=disposition, frequency=1]
Node [word=disprove, frequency=1]
Node [word=disputed, frequency=1]
Node [word=disputes, frequency=1]
Node [word=disregard, frequency=3]
Node [word=disrespectful, frequency=1]
Node [word=dissatisfaction, frequency=1]
Node [word=dissolute, frequency=1]
Node [word=dissolves, frequency=1]
Node [word=distance, frequency=7]
Node [word=distances, frequency=1]
Node [word=distant, frequency=10]
Node [word=distaste, frequency=1]
Node [word=distasteful, frequency=1]
Node [word=distinct, frequency=2]
Node [word=distinction, frequency=3]
Node [word=distinctly, frequency=1]
Node [word=distinguished, frequency=2]
Node [word=distorted, frequency=2]
Node [word=distracted, frequency=1]
Node [word=distraught, frequency=1]
Node [word=disturb, frequency=2]
Node [word=disturbed, frequency=1]
Node [word=diversion, frequency=1]
Node [word=diverted, frequency=2]
Node [word=diverting, frequency=1]
Node [word=divide, frequency=2]
Node [word=divine, frequency=2]
Node [word=division, frequency=1]
Node [word=divorce, frequency=8]
Node [word=divorced, frequency=1]
Node [word=do, frequency=77]
Node [word=doany, frequency=1]
Node [word=docility, frequency=1]
Node [word=doctor, frequency=1]
Node [word=doctors, frequency=1]
Node [word=doctrine, frequency=1]
Node [word=dodged, frequency=1]
Node [word=dodging, frequency=1]
Node [word=does, frequency=15]
Node [word=doesnt, frequency=6]
Node [word=dog, frequency=13]
Node [word=dogs, frequency=5]
Node [word=doing, frequency=9]
Node [word=dollar, frequency=1]
Node [word=dollars, frequency=6]
Node [word=domain, frequency=1]
Node [word=dommage, frequency=1]
Node [word=done, frequency=22]
Node [word=donkeys, frequency=1]
Node [word=dont, frequency=72]
Node [word=dontI, frequency=1]
Node [word=doom, frequency=1]
Node [word=doomed, frequency=1]
Node [word=door, frequency=23]
Node [word=doorbell, frequency=4]
Node [word=doormy, frequency=1]
Node [word=doors, frequency=3]
Node [word=dose, frequency=1]
Node [word=dot, frequency=1]
Node [word=double, frequency=1]
Node [word=doublebed, frequency=1]
Node [word=doubly, frequency=1]
Node [word=doubt, frequency=11]
Node [word=doubtfully, frequency=1]
Node [word=doubting, frequency=1]
Node [word=doubtless, frequency=3]
Node [word=doubts, frequency=1]
Node [word=doughty, frequency=1]
Node [word=down, frequency=56]
Node [word=downright, frequency=5]
Node [word=downtown, frequency=1]
Node [word=draft, frequency=1]
Node [word=drag, frequency=1]
Node [word=dragged, frequency=1]
Node [word=dramatic, frequency=1]
Node [word=draw, frequency=7]
Node [word=drawbridge, frequency=2]
Node [word=drawing, frequency=1]
Node [word=drawingroom, frequency=1]
Node [word=drawingrooms, frequency=1]
Node [word=drawled, frequency=2]
Node [word=dread, frequency=1]
Node [word=dreaded, frequency=1]
Node [word=dreadful, frequency=2]
Node [word=dream, frequency=2]
Node [word=dreamed, frequency=2]
Node [word=dreary, frequency=1]
Node [word=drenching, frequency=1]
Node [word=dress, frequency=4]
Node [word=dressed, frequency=3]
Node [word=dresses, frequency=1]
Node [word=drew, frequency=3]
Node [word=drink, frequency=2]
Node [word=drinks, frequency=1]
Node [word=driven, frequency=2]
Node [word=driver, frequency=1]
Node [word=droll, frequency=1]
Node [word=drop, frequency=7]
Node [word=dropped, frequency=3]
Node [word=dropping, frequency=3]
Node [word=drops, frequency=1]
Node [word=drove, frequency=1]
Node [word=drowned, frequency=1]
Node [word=drug, frequency=1]
Node [word=drunk, frequency=2]
Node [word=drunken, frequency=3]
Node [word=dry, frequency=2]
Node [word=du, frequency=1]
Node [word=duck, frequency=1]
Node [word=due, frequency=5]
Node [word=duel, frequency=1]
Node [word=dukes, frequency=2]
Node [word=dull, frequency=5]
Node [word=dullness, frequency=1]
Node [word=duly, frequency=1]
Node [word=dumbness, frequency=1]
Node [word=dun, frequency=1]
Node [word=during, frequency=15]
Node [word=dust, frequency=3]
Node [word=dusty, frequency=2]
Node [word=duties, frequency=3]
Node [word=dutifully, frequency=1]
Node [word=duty, frequency=5]
Node [word=dwellings, frequency=2]
Node [word=dwelt, frequency=1]
Node [word=dying, frequency=3]
Node [word=Each, frequency=3]
Node [word=Earl, frequency=7]
Node [word=East, frequency=2]
Node [word=Edward, frequency=5]
Node [word=Either, frequency=1]
Node [word=Eliza, frequency=20]
Node [word=Elizabeth, frequency=2]
Node [word=Elizas, frequency=1]
Node [word=Empire, frequency=1]
Node [word=England, frequency=5]
Node [word=Englands, frequency=1]
Node [word=English, frequency=12]
Node [word=Englishman, frequency=1]
Node [word=Englishmen, frequency=2]
Node [word=Englishspeaking, frequency=1]
Node [word=Eocene, frequency=1]
Node [word=Esau, frequency=2]
Node [word=Esaus, frequency=1]
Node [word=Escape, frequency=1]
Node [word=Especially, frequency=1]
Node [word=Eternal, frequency=1]
Node [word=Europe, frequency=6]
Node [word=European, frequency=1]
Node [word=Eve, frequency=5]
Node [word=Even, frequency=8]
Node [word=Evening, frequency=3]
Node [word=Ever, frequency=1]
Node [word=Every, frequency=1]
Node [word=Everybody, frequency=2]
Node [word=Everything, frequency=1]
Node [word=Everythings, frequency=1]
Node [word=Evidently, frequency=2]
Node [word=Except, frequency=1]
Node [word=Exchange, frequency=25]
Node [word=Excuse, frequency=1]
Node [word=Exfather, frequency=1]
Node [word=Exodus, frequency=1]
Node [word=each, frequency=29]
Node [word=eager, frequency=3]
Node [word=eagerly, frequency=3]
Node [word=eagerness, frequency=2]
Node [word=ear, frequency=2]
Node [word=earlier, frequency=4]
Node [word=earliest, frequency=1]
Node [word=early, frequency=2]
Node [word=earn, frequency=1]
Node [word=earned, frequency=1]
Node [word=earnest, frequency=1]
Node [word=ears, frequency=4]
Node [word=earth, frequency=4]
Node [word=earthquake, frequency=1]
Node [word=earthquakes, frequency=1]
Node [word=ease, frequency=6]
Node [word=easily, frequency=8]
Node [word=eastern, frequency=2]
Node [word=easy, frequency=7]
Node [word=easygoing, frequency=1]
Node [word=eat, frequency=5]
Node [word=eaten, frequency=2]
Node [word=eating, frequency=1]
Node [word=eats, frequency=1]
Node [word=ebbed, frequency=1]
Node [word=echoed, frequency=1]
Node [word=ecstasy, frequency=1]
Node [word=eddy, frequency=1]
Node [word=edge, frequency=3]
Node [word=edification, frequency=1]
Node [word=edifying, frequency=1]
Node [word=educate, frequency=1]
Node [word=educated, frequency=5]
Node [word=educating, frequency=1]
Node [word=education, frequency=3]
Node [word=effect, frequency=2]
Node [word=effecting, frequency=1]
Node [word=effective, frequency=1]
Node [word=effects, frequency=1]
Node [word=effervesced, frequency=1]
Node [word=effort, frequency=5]
Node [word=effusive, frequency=1]
Node [word=egcellent, frequency=1]
Node [word=eggs, frequency=1]
Node [word=egregiously, frequency=1]
Node [word=eight, frequency=4]
Node [word=eighteen, frequency=1]
Node [word=eighteenthcentury, frequency=1]
Node [word=eighty, frequency=2]
Node [word=either, frequency=5]
Node [word=elation, frequency=1]
Node [word=elbow, frequency=1]
Node [word=elbows, frequency=1]
Node [word=elder, frequency=1]
Node [word=elderly, frequency=3]
Node [word=elders, frequency=1]
Node [word=elections, frequency=1]
Node [word=electric, frequency=2]
Node [word=electricity, frequency=1]
Node [word=elegance, frequency=6]
Node [word=eleven, frequency=1]
Node [word=ells, frequency=1]
Node [word=eloquent, frequency=1]
Node [word=eloquently, frequency=1]
Node [word=else, frequency=14]
Node [word=elses, frequency=1]
Node [word=elsewhere, frequency=2]
Node [word=eludes, frequency=1]
Node [word=em, frequency=3]
Node [word=emancipation, frequency=1]
Node [word=embark, frequency=1]
Node [word=embarked, frequency=3]
Node [word=embarrassed, frequency=2]
Node [word=embarrassing, frequency=1]
Node [word=embarrassingly, frequency=1]
Node [word=embarrassment, frequency=2]
Node [word=embarrassments, frequency=1]
Node [word=embattled, frequency=1]
Node [word=embraced, frequency=3]
Node [word=embroider, frequency=1]
Node [word=embroidered, frequency=3]
Node [word=embroidery, frequency=4]
Node [word=emerge, frequency=1]
Node [word=emotion, frequency=1]
Node [word=emphasis, frequency=3]
Node [word=emphasizing, frequency=1]
Node [word=emphatic, frequency=1]
Node [word=emphatically, frequency=1]
Node [word=employed, frequency=3]
Node [word=empty, frequency=11]
Node [word=enabled, frequency=1]
Node [word=enchanting, frequency=1]
Node [word=enclosed, frequency=1]
Node [word=enclosures, frequency=1]
Node [word=encounter, frequency=2]
Node [word=encounters, frequency=1]
Node [word=encourage, frequency=1]
Node [word=encouragement, frequency=1]
Node [word=encouraging, frequency=1]
Node [word=encouragingly, frequency=2]
Node [word=end, frequency=15]
Node [word=ended, frequency=1]
Node [word=ending, frequency=2]
Node [word=endlessness, frequency=1]
Node [word=endow, frequency=1]
Node [word=ends, frequency=3]
Node [word=endure, frequency=1]
Node [word=enemy, frequency=3]
Node [word=energetic, frequency=1]
Node [word=energy, frequency=2]
Node [word=engaged, frequency=6]
Node [word=engagement, frequency=12]
Node [word=engaging, frequency=1]
Node [word=engine, frequency=1]
Node [word=engines, frequency=1]
Node [word=engulfing, frequency=1]
Node [word=enjoy, frequency=2]
Node [word=enjoyed, frequency=2]
Node [word=enjoying, frequency=2]
Node [word=enjoyment, frequency=1]
Node [word=enjoys, frequency=1]
Node [word=enlighten, frequency=1]
Node [word=enlightened, frequency=3]
Node [word=enlightenments, frequency=1]
Node [word=enormous, frequency=1]
Node [word=enough, frequency=24]
Node [word=enoughso, frequency=1]
Node [word=enraged, frequency=1]
Node [word=enshrined, frequency=1]
Node [word=ensued, frequency=1]
Node [word=enter, frequency=4]
Node [word=entered, frequency=7]
Node [word=entering, frequency=2]
Node [word=enterprise, frequency=1]
Node [word=entertained, frequency=1]
Node [word=entertaining, frequency=1]
Node [word=entertainment, frequency=2]
Node [word=enthusiasm, frequency=2]
Node [word=enthusiastic, frequency=1]
Node [word=entire, frequency=3]
Node [word=entirely, frequency=5]
Node [word=entitled, frequency=5]
Node [word=entrails, frequency=1]
Node [word=entrance, frequency=3]
Node [word=entreated, frequency=1]
Node [word=enunciation, frequency=1]
Node [word=envious, frequency=1]
Node [word=envying, frequency=1]
Node [word=episode, frequency=1]
Node [word=episodes, frequency=1]
Node [word=epoch, frequency=1]
Node [word=equal, frequency=4]
Node [word=equality, frequency=4]
Node [word=equally, frequency=4]
Node [word=equivalent, frequency=1]
Node [word=equivocal, frequency=1]
Node [word=errand, frequency=3]
Node [word=errands, frequency=2]
Node [word=error, frequency=2]
Node [word=errors, frequency=1]
Node [word=escape, frequency=3]
Node [word=escaped, frequency=2]
Node [word=escapes, frequency=1]
Node [word=escort, frequency=1]
Node [word=especially, frequency=5]
Node [word=est, frequency=1]
Node [word=establish, frequency=1]
Node [word=established, frequency=3]
Node [word=estate, frequency=2]
Node [word=esteem, frequency=2]
Node [word=estimation, frequency=1]
Node [word=estranged, frequency=1]
Node [word=estrangement, frequency=1]
Node [word=et, frequency=14]
Node [word=etc, frequency=4]
Node [word=eternal, frequency=2]
Node [word=even, frequency=64]
Node [word=evening, frequency=8]
Node [word=events, frequency=2]
Node [word=ever, frequency=39]
Node [word=evergreen, frequency=1]
Node [word=every, frequency=24]
Node [word=everybody, frequency=5]
Node [word=everybodys, frequency=1]
Node [word=everything, frequency=11]
Node [word=everythingunless, frequency=1]
Node [word=everywhere, frequency=7]
Node [word=everywherewhere, frequency=1]
Node [word=evident, frequency=5]
Node [word=evidently, frequency=13]
Node [word=evil, frequency=4]
Node [word=evinced, frequency=1]
Node [word=evolution, frequency=2]
Node [word=evolutionMr, frequency=1]
Node [word=exact, frequency=1]
Node [word=exactly, frequency=4]
Node [word=exaggerated, frequency=1]
Node [word=exaggeration, frequency=2]
Node [word=exalted, frequency=1]
Node [word=examine, frequency=1]
Node [word=examining, frequency=1]
Node [word=example, frequency=2]
Node [word=excellence, frequency=1]
Node [word=excellent, frequency=2]
Node [word=except, frequency=14]
Node [word=exceptional, frequency=2]
Node [word=excess, frequency=1]
Node [word=excesses, frequency=2]
Node [word=exchange, frequency=4]
Node [word=exchanged, frequency=6]
Node [word=excited, frequency=1]
Node [word=excitedly, frequency=1]
Node [word=excitement, frequency=1]
Node [word=excitementhad, frequency=1]
Node [word=exclaimed, frequency=28]
Node [word=exclamation, frequency=4]
Node [word=exclamations, frequency=1]
Node [word=exclamationsDo, frequency=1]
Node [word=excluded, frequency=1]
Node [word=exclusively, frequency=1]
Node [word=excursion, frequency=4]
Node [word=excuse, frequency=5]
Node [word=excused, frequency=1]
Node [word=executions, frequency=1]
Node [word=exercise, frequency=4]
Node [word=exercised, frequency=1]
Node [word=exercising, frequency=1]
Node [word=exfather, frequency=1]
Node [word=exhibition, frequency=1]
Node [word=exist, frequency=3]
Node [word=exits, frequency=1]
Node [word=exorbitant, frequency=1]
Node [word=expect, frequency=15]
Node [word=expectancy, frequency=2]
Node [word=expected, frequency=7]
Node [word=expects, frequency=2]
Node [word=expeditions, frequency=2]
Node [word=expelled, frequency=1]
Node [word=expense, frequency=3]
Node [word=expensive, frequency=2]
Node [word=experience, frequency=5]
Node [word=experienced, frequency=2]
Node [word=experiences, frequency=2]
Node [word=experiment, frequency=1]
Node [word=explain, frequency=7]
Node [word=explained, frequency=15]
Node [word=explaining, frequency=2]
Node [word=explanation, frequency=2]
Node [word=exploded, frequency=1]
Node [word=explored, frequency=1]
Node [word=expose, frequency=1]
Node [word=expostulated, frequency=2]
Node [word=express, frequency=5]
Node [word=expressed, frequency=6]
Node [word=expressing, frequency=2]
Node [word=expression, frequency=11]
Node [word=expressions, frequency=6]
Node [word=expressive, frequency=2]
Node [word=expresstrain, frequency=1]
Node [word=expungedI, frequency=1]
Node [word=exquisite, frequency=4]
Node [word=extant, frequency=1]
Node [word=extend, frequency=1]
Node [word=extended, frequency=1]
Node [word=extensions, frequency=1]
Node [word=exterior, frequency=3]
Node [word=external, frequency=1]
Node [word=externally, frequency=1]
Node [word=extinct, frequency=2]
Node [word=extra, frequency=1]
Node [word=extractionPaul, frequency=1]
Node [word=extraordinary, frequency=5]
Node [word=extreme, frequency=3]
Node [word=extremely, frequency=1]
Node [word=extremes, frequency=1]
Node [word=exultation, frequency=2]
Node [word=eye, frequency=29]
Node [word=eyebrows, frequency=1]
Node [word=eyefamily, frequency=1]
Node [word=eyes, frequency=50]
Node [word=Fanning, frequency=8]
Node [word=Fannings, frequency=5]
Node [word=Few, frequency=1]
Node [word=Fifteenth, frequency=1]
Node [word=Fireeater, frequency=1]
Node [word=Florida, frequency=2]
Node [word=Flowers, frequency=1]
Node [word=For, frequency=17]
Node [word=Foreseen, frequency=1]
Node [word=Forever, frequency=1]
Node [word=Forty, frequency=1]
Node [word=Franklyand, frequency=1]
Node [word=French, frequency=5]
Node [word=Friday, frequency=1]
Node [word=From, frequency=7]
Node [word=Future, frequency=1]
Node [word=fable, frequency=1]
Node [word=fabled, frequency=1]
Node [word=face, frequency=29]
Node [word=faces, frequency=6]
Node [word=facing, frequency=1]
Node [word=fact, frequency=6]
Node [word=factin, frequency=1]
Node [word=facts, frequency=5]
Node [word=faded, frequency=2]
Node [word=fading, frequency=1]
Node [word=fail, frequency=1]
Node [word=failed, frequency=4]
Node [word=failing, frequency=1]
Node [word=fails, frequency=1]
Node [word=failure, frequency=2]
Node [word=faint, frequency=1]
Node [word=fair, frequency=3]
Node [word=fairly, frequency=6]
Node [word=fairy, frequency=2]
Node [word=faith, frequency=4]
Node [word=faithful, frequency=2]
Node [word=faithfully, frequency=2]
Node [word=fall, frequency=7]
Node [word=fallen, frequency=4]
Node [word=falling, frequency=2]
Node [word=falls, frequency=1]
Node [word=false, frequency=4]
Node [word=falsehood, frequency=1]
Node [word=famblies, frequency=2]
Node [word=familiar, frequency=3]
Node [word=familiarity, frequency=4]
Node [word=families, frequency=7]
Node [word=family, frequency=34]
Node [word=familyfor, frequency=1]
Node [word=famous, frequency=4]
Node [word=famously, frequency=1]
Node [word=fanciful, frequency=1]
Node [word=fancy, frequency=10]
Node [word=fantastic, frequency=1]
Node [word=far, frequency=23]
Node [word=farce, frequency=1]
Node [word=farewell, frequency=1]
Node [word=farmer, frequency=1]
Node [word=farming, frequency=1]
Node [word=fascination, frequency=1]
Node [word=fashion, frequency=5]
Node [word=fashionable, frequency=5]
Node [word=fast, frequency=2]
Node [word=fastening, frequency=1]
Node [word=faster, frequency=1]
Node [word=fat, frequency=2]
Node [word=father, frequency=15]
Node [word=fatherland, frequency=1]
Node [word=fathers, frequency=9]
Node [word=fault, frequency=2]
Node [word=favor, frequency=1]
Node [word=favorably, frequency=1]
Node [word=favored, frequency=1]
Node [word=favorite, frequency=4]
Node [word=fear, frequency=10]
Node [word=fearI, frequency=1]
Node [word=feared, frequency=3]
Node [word=fearno, frequency=1]
Node [word=fears, frequency=1]
Node [word=feast, frequency=2]
Node [word=features, frequency=3]
Node [word=fecund, frequency=1]
Node [word=fee, frequency=1]
Node [word=feeble, frequency=1]
Node [word=feebly, frequency=1]
Node [word=feel, frequency=22]
Node [word=feeling, frequency=9]
Node [word=feelings, frequency=13]
Node [word=feelingyou, frequency=1]
Node [word=feels, frequency=2]
Node [word=feet, frequency=3]
Node [word=feign, frequency=1]
Node [word=felicitated, frequency=1]
Node [word=felicitous, frequency=2]
Node [word=fell, frequency=6]
Node [word=fellow, frequency=6]
Node [word=fellowboarders, frequency=2]
Node [word=fellowcitizens, frequency=1]
Node [word=fellows, frequency=1]
Node [word=felt, frequency=22]
Node [word=female, frequency=7]
Node [word=females, frequency=1]
Node [word=feminine, frequency=1]
Node [word=ferocious, frequency=1]
Node [word=fertile, frequency=1]
Node [word=fervently, frequency=2]
Node [word=fever, frequency=1]
Node [word=few, frequency=22]
Node [word=fiancee, frequency=1]
Node [word=fibres, frequency=1]
Node [word=fidelity, frequency=1]
Node [word=field, frequency=1]
Node [word=fierce, frequency=2]
Node [word=fierceness, frequency=1]
Node [word=fiery, frequency=1]
Node [word=fifteen, frequency=3]
Node [word=fifth, frequency=1]
Node [word=fifty, frequency=2]
Node [word=fight, frequency=2]
Node [word=fighting, frequency=1]
Node [word=figure, frequency=1]
Node [word=figures, frequency=2]
Node [word=filial, frequency=1]
Node [word=fill, frequency=1]
Node [word=filled, frequency=9]
Node [word=filledmachinery, frequency=1]
Node [word=filling, frequency=1]
Node [word=final, frequency=6]
Node [word=finalitythe, frequency=1]
Node [word=finally, frequency=3]
Node [word=finance, frequency=2]
Node [word=financial, frequency=2]
Node [word=financier, frequency=1]
Node [word=find, frequency=30]
Node [word=finding, frequency=6]
Node [word=finds, frequency=2]
Node [word=fine, frequency=10]
Node [word=finelooking, frequency=1]
Node [word=finely, frequency=2]
Node [word=finest, frequency=1]
Node [word=finger, frequency=1]
Node [word=fingers, frequency=1]
Node [word=finis, frequency=1]
Node [word=finish, frequency=5]
Node [word=finished, frequency=14]
Node [word=finishing, frequency=2]
Node [word=fire, frequency=6]
Node [word=fireeater, frequency=1]
Node [word=fireescape, frequency=2]
Node [word=firesides, frequency=1]
Node [word=firm, frequency=1]
Node [word=first, frequency=48]
Node [word=firstcousinonceremoved, frequency=1]
Node [word=fisherman, frequency=1]
Node [word=fishing, frequency=2]
Node [word=fist, frequency=1]
Node [word=fists, frequency=2]
Node [word=fistto, frequency=1]
Node [word=fit, frequency=6]
Node [word=fitly, frequency=1]
Node [word=fitness, frequency=1]
Node [word=fits, frequency=1]
Node [word=fitting, frequency=4]
Node [word=fittingly, frequency=1]
Node [word=five, frequency=5]
Node [word=fivean, frequency=1]
Node [word=fix, frequency=1]
Node [word=fixed, frequency=5]
Node [word=flagrantly, frequency=1]
Node [word=flames, frequency=2]
Node [word=flaming, frequency=1]
Node [word=flannel, frequency=1]
Node [word=flash, frequency=2]
Node [word=flashed, frequency=3]
Node [word=flashes, frequency=1]
Node [word=flat, frequency=4]
Node [word=flatly, frequency=1]
Node [word=flavor, frequency=1]
Node [word=flawless, frequency=1]
Node [word=fled, frequency=1]
Node [word=flesh, frequency=3]
Node [word=flew, frequency=1]
Node [word=flickered, frequency=1]
Node [word=flickering, frequency=1]
Node [word=flight, frequency=3]
Node [word=fling, frequency=2]
Node [word=flippancy, frequency=1]
Node [word=flippant, frequency=2]
Node [word=floated, frequency=1]
Node [word=floats, frequency=1]
Node [word=flock, frequency=1]
Node [word=flood, frequency=1]
Node [word=floor, frequency=5]
Node [word=flooring, frequency=1]
Node [word=flourish, frequency=1]
Node [word=flowed, frequency=2]
Node [word=flower, frequency=2]
Node [word=flowering, frequency=1]
Node [word=flowers, frequency=8]
Node [word=flowersperhaps, frequency=1]
Node [word=flowing, frequency=1]
Node [word=flown, frequency=1]
Node [word=fluent, frequency=1]
Node [word=fluid, frequency=1]
Node [word=flurry, frequency=1]
Node [word=flush, frequency=1]
Node [word=flushed, frequency=2]
Node [word=flutes, frequency=1]
Node [word=fluttered, frequency=1]
Node [word=fluttering, frequency=1]
Node [word=fo, frequency=3]
Node [word=fold, frequency=1]
Node [word=follies, frequency=1]
Node [word=follow, frequency=5]
Node [word=followed, frequency=10]
Node [word=following, frequency=6]
Node [word=folly, frequency=5]
Node [word=fond, frequency=2]
Node [word=fondly, frequency=1]
Node [word=food, frequency=2]
Node [word=fool, frequency=1]
Node [word=foolish, frequency=4]
Node [word=for, frequency=361]
Node [word=forbade, frequency=2]
Node [word=forbids, frequency=1]
Node [word=force, frequency=3]
Node [word=forced, frequency=1]
Node [word=forefathers, frequency=1]
Node [word=forehead, frequency=5]
Node [word=foreheads, frequency=1]
Node [word=foreign, frequency=5]
Node [word=foreigner, frequency=1]
Node [word=foreigners, frequency=2]
Node [word=foreignthat, frequency=1]
Node [word=forenoon, frequency=1]
Node [word=foreseen, frequency=1]
Node [word=forest, frequency=2]
Node [word=forever, frequency=2]
Node [word=forget, frequency=8]
Node [word=forgetful, frequency=3]
Node [word=forgetting, frequency=2]
Node [word=forgive, frequency=1]
Node [word=forgiven, frequency=4]
Node [word=forgivenif, frequency=1]
Node [word=forgot, frequency=1]
Node [word=forgotten, frequency=6]
Node [word=form, frequency=4]
Node [word=formal, frequency=1]
Node [word=formality, frequency=6]
Node [word=formalitymy, frequency=1]
Node [word=formally, frequency=2]
Node [word=formidable, frequency=3]
Node [word=formulate, frequency=1]
Node [word=forth, frequency=6]
Node [word=forthwith, frequency=2]
Node [word=fortunate, frequency=1]
Node [word=fortunately, frequency=1]
Node [word=fortune, frequency=5]
Node [word=forty, frequency=5]
Node [word=forward, frequency=13]
Node [word=forwardness, frequency=1]
Node [word=fought, frequency=9]
Node [word=found, frequency=31]
Node [word=founded, frequency=2]
Node [word=four, frequency=2]
Node [word=fourth, frequency=2]
Node [word=fragment, frequency=1]
Node [word=fragments, frequency=1]
Node [word=fragrance, frequency=1]
Node [word=frame, frequency=3]
Node [word=frames, frequency=1]
Node [word=frankly, frequency=4]
Node [word=free, frequency=5]
Node [word=freedom, frequency=7]
Node [word=freedomloving, frequency=1]
Node [word=frequent, frequency=1]
Node [word=frequently, frequency=3]
Node [word=fresh, frequency=2]
Node [word=fretting, frequency=1]
Node [word=friend, frequency=9]
Node [word=friendly, frequency=3]
Node [word=friends, frequency=4]
Node [word=friendspeople, frequency=1]
Node [word=frightfully, frequency=1]
Node [word=frivolous, frequency=1]
Node [word=fro, frequency=1]
Node [word=frolic, frequency=1]
Node [word=from, frequency=256]
Node [word=front, frequency=9]
Node [word=frowned, frequency=2]
Node [word=frowning, frequency=1]
Node [word=froze, frequency=1]
Node [word=fruit, frequency=1]
Node [word=fruitless, frequency=1]
Node [word=fruits, frequency=1]
Node [word=fulfil, frequency=1]
Node [word=full, frequency=18]
Node [word=fullblown, frequency=1]
Node [word=funeral, frequency=2]
Node [word=furious, frequency=2]
Node [word=furiousI, frequency=1]
Node [word=furnish, frequency=1]
Node [word=furnished, frequency=4]
Node [word=further, frequency=13]
Node [word=fury, frequency=1]
Node [word=fuss, frequency=2]
Node [word=futility, frequency=1]
Node [word=future, frequency=1]
Node [word=GIRL, frequency=1]
Node [word=General, frequency=17]
Node [word=Generals, frequency=2]
Node [word=George, frequency=5]
Node [word=Georges, frequency=1]
Node [word=Georgia, frequency=9]
Node [word=Get, frequency=1]
